school,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,TotalGrades,HasHighEducatedParents,StudyTimeCategory,sex_F,sex_M,address_R,address_U
1,18.0,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4.0,3,4,1,1,3,6.0,5,6,6,17,1,Low,True,False,False,True
1,17.0,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5.0,3,3,1,1,3,4.0,5,5,6,16,0,Low,True,False,False,True
1,15.0,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4.0,3,2,2,3,3,10.0,7,8,10,25,0,Low,True,False,False,True
1,15.0,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3.0,2,2,1,1,5,2.0,15,14,15,44,1,Meduim,True,False,False,True
1,16.0,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4.0,3,2,1,2,5,4.0,6,10,10,26,1,Low,True,False,False,True
1,16.0,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,4,2,1,2,5,10.0,15,15,15,45,1,Low,False,True,False,True
1,16.0,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4.0,4,4,1,1,3,0.0,12,12,11,35,0,Low,False,True,False,True
1,17.0,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4.0,1,4,1,1,1,6.0,6,5,6,17,1,Low,True,False,False,True
1,15.0,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4.0,2,2,1,1,1,0.0,16,18,19,53,1,Low,False,True,False,True
1,16.0,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5.0,5,1,1,1,5,0.0,14,15,15,44,1,Low,False,True,False,True
1,15.0,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3.0,3,3,1,2,2,0.0,10,8,9,27,1,Low,True,False,False,True
1,15.0,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5.0,2,2,1,1,4,4.0,10,12,12,34,0,Meduim,True,False,False,True
1,15.0,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4.0,3,3,1,3,5,2.0,14,14,14,42,1,Low,False,True,False,True
1,15.0,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5.0,4,3,1,2,3,2.0,10,10,11,31,1,Low,False,True,False,True
1,15.0,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4.0,5,2,1,1,3,0.0,14,16,16,46,0,Meduim,False,True,False,True
1,16.0,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4.0,4,4,1,2,2,4.0,14,14,14,42,1,Low,True,False,False,True
1,16.0,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3.0,2,3,1,2,2,6.0,13,14,14,41,1,Meduim,True,False,False,True
1,16.0,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5.0,3,2,1,1,4,4.0,8,10,10,28,1,Low,True,False,False,True
1,17.0,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5.0,5,5,2,4,5,16.0,6,5,5,16,1,Low,False,True,False,True
1,16.0,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3.0,1,3,1,3,5,4.0,8,10,10,28,1,Low,False,True,False,True
